Concurso,Data do Sorteio,Coluna1,Coluna2,Coluna3,Coluna4,Coluna5,Coluna6,Ganhadores Faixa 1,Ganhadores Faixa 2,Ganhadores Faixa 3,Acumulado,Sorteio Especial
314,2001-11-17,5,32,34,37,40,58,0,93,5542,true,false
315,2001-11-21,12,21,22,28,43,50,1,43,4598,false,false
316,2001-11-24,6,24,28,43,51,56,0,104,4093,true,false
317,2001-11-28,16,20,27,30,35,48,0,23,2088,true,false
318,2001-12-01,3,19,20,31,40,53,1,46,3071,false,false
319,2001-12-05,12,16,17,19,23,48,0,52,3342,true,false
320,2001-12-08,20,22,27,47,50,53,0,77,4916,true,false
321,2001-12-12,4,11,31,32,48,49,0,55,3729,true,false
322,2001-12-15,11,18,29,44,47,56,0,87,7835,true,false
323,2001-12-19,26,31,33,40,49,54,0,56,4244,true,false
324,2001-12-22,8,15,22,25,30,47,0,211,12192,true,false
325,2001-12-29,1,3,4,21,23,53,2,256,15646,false,false
326,2002-01-05,21,23,40,44,51,52,0,27,2674,true,false
327,2002-01-09,29,32,33,38,46,48,0,16,2112,true,false
328,2002-01-12,5,7,14,21,23,51,1,100,7121,false,false
329,2002-01-16,10,11,12,24,35,40,0,40,2904,true,false
330,2002-01-19,2,4,14,23,37,51,0,120,7914,true,false
331,2002-01-23,1,13,20,27,35,37,0,70,6408,true,false
332,2002-01-26,23,28,29,34,42,44,0,83,6713,true,false
333,2002-01-30,4,27,35,44,52,53,0,93,6221,true,false
334,2002-02-02,14,23,24,26,41,51,2,1200,8839,false,false
335,2002-02-06,7,23,33,43,57,59,0,24,2134,true,false
336,2002-02-09,2,18,22,26,30,54,0,68,4141,true,false
337,2002-02-16,4,14,16,31,52,54,0,34,3454,true,false
338,2002-02-20,1,4,9,36,46,48,0,43,3245,true,false
339,2002-02-23,5,12,13,16,27,50,0,76,6908,true,false
340,2002-02-27,9,10,12,33,42,60,0,121,6970,true,false
341,2002-03-02,5,16,22,23,43,56,0,166,11103,true,false
342,2002-03-06,16,29,34,49,51,54,0,93,5578,true,false
343,2002-03-09,4,6,7,12,24,41,2,246,17023,false,false
344,2002-03-13,10,12,14,33,35,36,0,46,3487,true,false
345,2002-03-16,11,22,46,51,56,58,1,27,2170,false,false
346,2002-03-20,7,12,41,46,56,60,0,20,1589,true,false
347,2002-03-23,1,10,12,26,48,52,0,72,4730,true,false
348,2002-03-27,19,30,33,39,40,52,0,19,1547,true,false
349,2002-03-30,8,9,28,32,38,54,0,46,3264,true,false
350,2002-04-03,10,15,23,30,43,57,0,80,5012,true,false
351,2002-04-06,15,16,24,41,59,60,0,98,5832,true,false
352,2002-04-10,7,20,25,44,47,49,0,161,8080,true,false
353,2002-04-13,19,23,30,46,55,60,0,89,6862,true,false
354,2002-04-17,7,16,38,40,41,52,1,93,6184,false,false
355,2002-04-20,2,14,22,23,37,60,0,50,4711,true,false
356,2002-04-24,5,19,21,54,56,58,0,32,2415,true,false
357,2002-04-27,2,30,32,35,45,53,0,34,3265,true,false
358,2002-05-04,12,17,21,32,40,42,0,84,5798,true,false
359,2002-05-08,13,19,20,29,31,54,0,56,3953,true,false
360,2002-05-11,23,24,29,47,53,55,0,133,8382,true,false
361,2002-05-15,16,28,31,41,45,59,0,98,5236,true,false
362,2002-05-18,7,20,33,37,46,56,1,110,8313,false,false
